symbol,geneid,node2,node1_string_id,node2_string_id,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
TUBB1,81027,PF4,9606.ENSP00000217133,9606.ENSP00000296029,0.0,0.0,0.226,0.623
TUBB1,81027,CLEC1B,9606.ENSP00000217133,9606.ENSP00000298527,0.103,0.0,0.088,0.546
SLC7A5,8140,KRT5,9606.ENSP00000261622,9606.ENSP00000252242,0.045,0.0,0.424,0.427
EOMES,8320,PCSK6,9606.ENSP00000388620,9606.ENSP00000482760,0.046,0.0,0.482,0.495
GFI1B,8328,GP9,9606.ENSP00000344782,9606.ENSP00000303942,0.091,0.0,0.297,0.516
GFI1B,8328,GP1BA,9606.ENSP00000344782,9606.ENSP00000329380,0.091,0.0,0.338,0.477
H2AC6,8334,H2BC11,9606.ENSP00000367022,9606.ENSP00000476136,0.92,0.4,0.542,0.988
H2AC6,8334,H2BC17,9606.ENSP00000367022,9606.ENSP00000477527,0.967,0.4,0.254,0.99
H2AC6,8334,H2BC9,9606.ENSP00000367022,9606.ENSP00000479169,0.967,0.4,0.21,0.992
H2BC9,8345,H2AC6,9606.ENSP00000479169,9606.ENSP00000367022,0.967,0.4,0.21,0.992
H2BC9,8345,H2BC11,9606.ENSP00000479169,9606.ENSP00000476136,0.297,0.4,0.043,0.744
H2BC9,8345,H2BC17,9606.ENSP00000479169,9606.ENSP00000477527,0.812,0.4,0.044,0.971
CDCA3,83461,KIF20A,9606.ENSP00000442068,9606.ENSP00000378356,0.0,0.0,0.522,0.93
H2BC4,8347,H2AC8,9606.ENSP00000321744,9606.ENSP00000303373,0.178,0.4,0.69,0.934
H2BC4,8347,AURKB,9606.ENSP00000321744,9606.ENSP00000313950,0.096,0.0,0.447,0.479
H2BC4,8347,GP1BA,9606.ENSP00000321744,9606.ENSP00000329380,0.045,0.4,0.0,0.402
H2BC4,8347,MLH3,9606.ENSP00000321744,9606.ENSP00000348020,0.0,0.5,0.0,0.501
H2BC4,8347,H3C12,9606.ENSP00000321744,9606.ENSP00000352252,0.829,0.4,0.862,0.989
H2BC4,8347,H2BC21,9606.ENSP00000321744,9606.ENSP00000358151,0.905,0.4,0.048,0.977
H2BC17,8348,H2AC6,9606.ENSP00000477527,9606.ENSP00000367022,0.967,0.4,0.254,0.99
H2BC17,8348,H2BC11,9606.ENSP00000477527,9606.ENSP00000476136,0.319,0.4,0.044,0.78
H2BC17,8348,H2BC9,9606.ENSP00000477527,9606.ENSP00000479169,0.812,0.4,0.044,0.971
H2BC21,8349,H2AC8,9606.ENSP00000358151,9606.ENSP00000303373,0.924,0.4,0.94,0.998
H2BC21,8349,AURKB,9606.ENSP00000358151,9606.ENSP00000313950,0.308,0.0,0.597,0.709
H2BC21,8349,H2BC4,9606.ENSP00000358151,9606.ENSP00000321744,0.905,0.4,0.048,0.977
H2BC21,8349,GP1BA,9606.ENSP00000358151,9606.ENSP00000329380,0.045,0.4,0.069,0.42
H2BC21,8349,TUBA8,9606.ENSP00000358151,9606.ENSP00000333326,0.0,0.0,0.467,0.467
H2BC21,8349,MLH3,9606.ENSP00000358151,9606.ENSP00000348020,0.0,0.5,0.072,0.52
H2BC21,8349,H3C12,9606.ENSP00000358151,9606.ENSP00000352252,0.836,0.4,0.999,0.999
H3C10,8357,H2AC8,9606.ENSP00000352252,9606.ENSP00000303373,0.985,0.4,0.845,0.998
H3C10,8357,AURKB,9606.ENSP00000352252,9606.ENSP00000313950,0.149,0.0,0.887,0.909
H3C10,8357,H2BC4,9606.ENSP00000352252,9606.ENSP00000321744,0.829,0.4,0.862,0.989
H3C10,8357,GP1BA,9606.ENSP00000352252,9606.ENSP00000329380,0.125,0.4,0.129,0.502
H3C10,8357,H2BC21,9606.ENSP00000352252,9606.ENSP00000358151,0.836,0.4,0.999,0.999
H3C10,8357,MMP9,9606.ENSP00000352252,9606.ENSP00000361405,0.0,0.0,0.663,0.668
CDCA7,83879,AURKB,9606.ENSP00000306968,9606.ENSP00000313950,0.067,0.0,0.5,0.635
CDCA7,83879,UBE2C,9606.ENSP00000306968,9606.ENSP00000348838,0.088,0.0,0.341,0.594
CDCA7,83879,RRM2,9606.ENSP00000306968,9606.ENSP00000353770,0.0,0.0,0.424,0.613
ACRBP,84519,TUBB1,9606.ENSP00000229243,9606.ENSP00000217133,0.0,0.0,0.106,0.784
ACRBP,84519,ALOX12,9606.ENSP00000229243,9606.ENSP00000251535,0.0,0.0,0.0,0.445
ACRBP,84519,NRGN,9606.ENSP00000229243,9606.ENSP00000284292,0.0,0.0,0.125,0.446
ACRBP,84519,CLEC1B,9606.ENSP00000229243,9606.ENSP00000298527,0.0,0.0,0.065,0.451
TUBB6,84617,TUBA8,9606.ENSP00000318697,9606.ENSP00000333326,0.287,0.65,0.811,0.964
AFAP1L2,84632,EGF,9606.ENSP00000303042,9606.ENSP00000265171,0.0,0.0,0.404,0.405
AFAP1L2,84632,ASAP2,9606.ENSP00000303042,9606.ENSP00000281419,0.0,0.0,0.38,0.406
AFAP1L2,84632,CXADR,9606.ENSP00000303042,9606.ENSP00000284878,0.0,0.0,0.444,0.444
STON2,85439,SH3BP4,9606.ENSP00000450857,9606.ENSP00000386862,0.0,0.0,0.522,0.522
STON2,85439,LDLR,9606.ENSP00000450857,9606.ENSP00000454071,0.0,0.5,0.0,0.499
ASAP2,8853,AFAP1L2,9606.ENSP00000281419,9606.ENSP00000303042,0.0,0.0,0.38,0.406
H2BC11,8970,H2AC6,9606.ENSP00000476136,9606.ENSP00000367022,0.92,0.4,0.542,0.988
H2BC11,8970,H2BC17,9606.ENSP00000476136,9606.ENSP00000477527,0.319,0.4,0.044,0.78
H2BC11,8970,H2BC9,9606.ENSP00000476136,9606.ENSP00000479169,0.297,0.4,0.043,0.744
AQP10,89872,GP9,9606.ENSP00000318355,9606.ENSP00000303942,0.042,0.0,0.042,0.435
AQP10,89872,SCGB1C1,9606.ENSP00000318355,9606.ENSP00000344545,0.0,0.0,0.0,0.434
ESAM,90952,SELP,9606.ENSP00000278927,9606.ENSP00000263686,0.0,0.0,0.712,0.776
ESAM,90952,ICAM1,9606.ENSP00000278927,9606.ENSP00000264832,0.0,0.0,0.581,0.606
PDLIM1,9124,AURKB,9606.ENSP00000360305,9606.ENSP00000313950,0.0,0.0,0.431,0.446
CCNB2,9133,GADD45B,9606.ENSP00000288207,9606.ENSP00000215631,0.0,0.9,0.298,0.926
CCNB2,9133,TROAP,9606.ENSP00000288207,9606.ENSP00000257909,0.0,0.0,0.282,0.674
CCNB2,9133,TPX2,9606.ENSP00000288207,9606.ENSP00000300403,0.045,0.0,0.725,0.953
AURKB,9212,CDCA7,9606.ENSP00000313950,9606.ENSP00000306968,0.067,0.0,0.5,0.635
AURKB,9212,H2BC4,9606.ENSP00000313950,9606.ENSP00000321744,0.096,0.0,0.447,0.479
AURKB,9212,UBE2C,9606.ENSP00000313950,9606.ENSP00000348838,0.053,0.4,0.704,0.955
AURKB,9212,H3C12,9606.ENSP00000313950,9606.ENSP00000352252,0.149,0.0,0.887,0.909
AURKB,9212,RRM2,9606.ENSP00000313950,9606.ENSP00000353770,0.0,0.0,0.596,0.84
AURKB,9212,E2F2,9606.ENSP00000313950,9606.ENSP00000355249,0.0,0.0,0.388,0.459
AURKB,9212,H2BC21,9606.ENSP00000313950,9606.ENSP00000358151,0.308,0.0,0.597,0.709
AURKB,9212,PDLIM1,9606.ENSP00000313950,9606.ENSP00000360305,0.0,0.0,0.431,0.446
CD83,9308,THBD,9606.ENSP00000368450,9606.ENSP00000366307,0.0,0.0,0.542,0.549
CD83,9308,CXCL2,9606.ENSP00000368450,9606.ENSP00000427279,0.0,0.0,0.269,0.425
CD83,9308,TNFAIP3,9606.ENSP00000368450,9606.ENSP00000481570,0.0,0.0,0.311,0.595
